BJP,INC,AGP,AIUDF,BPF,UPPL,OTHER,NDA,OPPOSITION
59,46,9,8,0,5,0,73,54
64,39,8,12,0,4,0,76,51
54,45,15,6,0,7,0,76,51
52,52,9,9,0,5,0,66,61
59,43,9,10,0,6,0,74,53
57,47,8,8,0,7,0,72,55
64,38,13,6,0,6,0,83,44
58,49,6,10,0,4,0,68,59
43,58,7,10,0,9,0,59,68
53,45,15,9,0,5,0,73,54
56,44,12,7,0,8,0,76,51
39,52,15,13,0,8,0,62,65
52,51,10,9,0,5,0,67,60
55,43,6,15,0,8,0,69,58
55,36,15,12,0,9,0,79,48
54,49,10,7,0,7,0,71,56
56,49,8,7,0,7,0,71,56
55,50,10,7,0,5,0,70,57
59,41,9,12,0,6,0,74,53
57,44,9,11,0,6,0,72,55
55,47,6,12,0,7,0,68,59
54,47,5,13,0,8,0,67,60
57,38,9,13,0,10,0,76,51
52,45,11,14,0,5,0,68,59
56,41,11,11,0,8,0,75,52
42,51,12,13,0,9,0,63,64
49,46,7,14,0,11,0,67,60
56,41,12,11,0,7,0,75,52
48,53,9,11,0,6,0,63,64
51,50,10,12,0,4,0,65,62
53,45,11,11,0,7,0,71,56
55,48,11,11,0,2,0,68,59
59,42,10,11,0,5,0,74,53
57,45,9,9,0,7,0,73,54
46,52,9,11,0,9,0,64,63
43,65,5,10,0,4,0,52,75
57,44,8,12,0,6,0,71,56
52,38,13,15,0,9,0,74,53
54,50,9,7,0,7,0,70,57
57,44,10,9,0,7,0,74,53
53,45,13,11,0,5,0,71,56
55,44,8,13,0,7,0,70,57
61,42,9,9,0,6,0,76,51
61,41,8,12,0,5,0,74,53
51,48,9,12,0,7,0,67,60
61,40,10,10,0,6,0,77,50
57,51,9,4,0,6,0,72,55
56,46,9,11,0,5,0,70,57
47,46,13,14,0,7,0,67,60
48,41,15,16,0,7,0,70,57
55,45,7,13,0,7,0,69,58
55,45,10,11,0,6,0,71,56
44,59,6,11,0,7,0,57,70
54,51,9,9,0,4,0,67,60
56,45,10,8,0,8,0,74,53
56,44,10,10,0,7,0,73,54
55,44,9,12,0,7,0,71,56
56,39,14,10,0,8,0,78,49
55,39,7,17,0,9,0,71,56
52,44,11,12,0,8,0,71,56
48,51,11,8,0,9,0,68,59
57,38,12,11,0,9,0,78,49
51,41,13,15,0,7,0,71,56
55,51,10,6,0,5,0,70,57
46,50,12,11,0,8,0,66,61
54,41,14,13,0,5,0,73,54
43,51,10,16,0,7,0,60,67
49,47,15,7,0,9,0,73,54
45,55,8,10,0,9,0,62,65
65,38,10,7,0,7,0,82,45
56,41,10,12,0,8,0,74,53
45,49,11,14,0,8,0,64,63
52,48,9,10,0,8,0,69,58
61,42,8,7,0,9,0,78,49
51,47,9,11,0,9,0,69,58
58,42,9,9,0,9,0,76,51
51,48,10,13,0,5,0,66,61
49,50,12,11,0,5,0,66,61
50,50,8,13,0,6,0,64,63
58,40,9,12,0,8,0,75,52
51,45,10,14,0,7,0,68,59
50,50,8,13,0,6,0,64,63
48,43,14,14,0,8,0,70,57
41,57,11,9,0,9,0,61,66
47,52,11,12,0,5,0,63,64
48,49,11,12,0,7,0,66,61
68,35,13,6,0,5,0,86,41
62,38,10,14,0,3,0,75,52
54,41,13,10,0,9,0,76,51
44,53,11,10,0,9,0,64,63
60,45,6,9,0,7,0,73,54
62,35,11,11,0,8,0,81,46
63,41,8,7,0,8,0,79,48
50,48,11,12,0,6,0,67,60
54,43,11,14,0,5,0,70,57
50,47,10,12,0,8,0,68,59
52,48,7,13,0,7,0,66,61
52,53,8,11,0,3,0,63,64
52,48,12,10,0,5,0,69,58
51,51,9,13,0,3,0,63,64
60,41,9,10,0,7,0,76,51
65,35,12,11,0,4,0,81,46
50,48,11,13,0,5,0,66,61
52,51,8,12,0,4,0,64,63
45,53,13,9,0,7,0,65,62
50,52,8,14,0,3,0,61,66
54,49,11,6,0,7,0,72,55
53,49,7,10,0,8,0,68,59
42,52,14,12,0,7,0,63,64
53,43,8,18,0,5,0,66,61
68,23,14,11,0,11,0,93,34
51,51,8,10,0,7,0,66,61
48,54,7,11,0,7,0,62,65
50,49,7,15,0,6,0,63,64
55,46,9,11,0,6,0,70,57
48,52,7,13,0,7,0,62,65
60,39,10,12,0,6,0,76,51
50,52,9,11,0,5,0,64,63
48,51,10,12,0,6,0,64,63
50,51,12,7,0,7,0,69,58
51,49,12,12,0,3,0,66,61
47,53,11,10,0,6,0,64,63
56,44,7,12,0,8,0,71,56
49,53,7,12,0,6,0,62,65
50,49,7,13,0,8,0,65,62
63,44,6,8,0,6,0,75,52
56,46,8,8,0,9,0,73,54
63,33,13,9,0,9,0,85,42
58,43,8,10,0,8,0,74,53
50,45,15,6,0,11,0,76,51
47,58,8,10,0,4,0,59,68
65,35,11,11,0,5,0,81,46
51,42,10,15,0,9,0,70,57
54,48,9,10,0,6,0,69,58
51,44,9,15,0,8,0,68,59
68,35,10,7,0,7,0,85,42
63,37,10,9,0,8,0,81,46
61,42,11,8,0,5,0,77,50
55,42,10,16,0,4,0,69,58
60,37,6,16,0,8,0,74,53
63,36,12,12,0,4,0,79,48
51,49,11,10,0,6,0,68,59
50,45,13,11,0,8,0,71,56
50,51,7,11,0,8,0,65,62
44,56,9,11,0,7,0,60,67
55,44,10,13,0,5,0,70,57
46,59,5,9,0,8,0,59,68
53,48,8,10,0,8,0,69,58
63,43,8,7,0,6,0,77,50
55,46,9,8,0,9,0,73,54
65,36,10,10,0,6,0,81,46
58,41,10,11,0,7,0,75,52
